group,treatment,series,stage,Root_ID,length1,length2,length3,length4,length5,mean_length_mm,nodules
ct,Control,time,day3,ct_day3_1,106.351,81.234,67.721,54.787,66.664,75.3514,0
ct,Control,time,day3,ct_day3_2,71.509,87.114,67.933,65.455,69.087,72.2196,0
ct,Control,time,day3,ct_day3_3,115.951,53.499,62.563,46.208,52.234,66.091,0
ct,Control,time,day3,ct_day3_4,111.084,93.858,79.687,75.653,75.865,87.2294,0
ct,Control,time,day3,ct_day3_5,79.605,46.562,52.238,47.574,44.891,54.174,0
ct,Control,time,day7,ct_day7_1,187.174,138.334,125.9,108.318,103.071,132.5594,0
ct,Control,time,day7,ct_day7_2,145.198,151.391,136.743,127.564,125.679,137.315,3
ct,Control,time,day7,ct_day7_3,177.528,185.075,162.213,160.406,153.775,167.7994,0
ct,Control,time,day7,ct_day7_4,150.303,158.563,170.515,139.284,145.584,152.8498,6
ct,Control,time,day7,ct_day7_5,144.77,153.857,178.031,161.762,153.553,158.3946,0
ct,Control,time,day14,ct_day14_1,344.267,387.627,325.671,271.177,269.182,319.5848,21
ct,Control,time,day14,ct_day14_2,427.467,335.509,306.947,280.85,272.877,324.73,28
ct,Control,time,day14,ct_day14_3,389.802,299.527,313.19,258.643,218.921,296.0166,34
ct,Control,time,day14,ct_day14_4,372.806,390.383,386.921,408.87,340.563,379.9086,45
ct,Control,time,day14,ct_day14_5,360.14,316.157,308.004,320.985,212.447,303.5466,29
ct,Control,time,day21,ct_day21_1,348.494,316.227,273.681,311.567,288.189,307.6316,95
ct,Control,time,day21,ct_day21_2,366.402,342.911,359.602,274.334,312.312,331.1122,135
ct,Control,time,day21,ct_day21_3,312.051,391.61,336.229,408.53,337.484,357.1808,126
ct,Control,time,day21,ct_day21_4,310.325,334.332,392.597,342.054,352.474,346.3564,83
ct,Control,time,day21,ct_day21_5,269.189,367.19,317.243,312.886,266.647,306.631,173
ct,Control,time,day35,ct_day35_1,386.051,332.984,378.037,375.927,331.552,360.9102,189
ct,Control,time,day35,ct_day35_2,332.582,340.918,338.416,395.739,282.789,338.0888,150
ct,Control,time,day35,ct_day35_3,353.163,301.214,345.749,321.023,355.622,335.3542,178
ct,Control,time,day35,ct_day35_4,418.991,360.225,337.706,398.435,329.801,369.0316,170
ct,Control,time,day35,ct_day35_5,390.256,331.017,374.332,332.25,343.486,354.2682,218
ct,Control,time,day49,ct_day49_1,302.96,343.941,382.17,314.962,352.359,339.2784,89
ct,Control,time,day49,ct_day49_2,299.602,373.425,317.72,346.139,390.68,345.5132,82
ct,Control,time,day49,ct_day49_3,252.599,262.431,320.737,284.972,303.728,284.8934,62
ct,Control,time,day49,ct_day49_4,308.471,361.167,332.746,255.847,295.806,310.8074,83
ct,Control,time,day49,ct_day49_5,462.362,412.615,373.31,452.697,438.466,427.89,108
ct,Control,time,day63,ct_day63_1,356.557,348.356,332.131,392.956,271.082,340.2164,65
ct,Control,time,day63,ct_day63_2,260.161,284.513,390.104,360.007,308.803,320.7176,105
ct,Control,time,day63,ct_day63_3,283.814,344.55,288.313,269.862,390.403,315.3884,74
ct,Control,time,day63,ct_day63_4,334.139,361.289,312.491,382.471,376.212,353.3204,79
ct,Control,time,day63,ct_day63_5,409.407,415.234,398.004,352.505,288.854,372.8008,91
zg,Zeb,growth,V1,zg_V1_1,112.742,159.391,130.93,96.617,107.687,121.4734,3
zg,Zeb,growth,V1,zg_V1_2,173.624,156.632,122.753,145.655,92.538,138.2404,6
zg,Zeb,growth,V1,zg_V1_3,192.032,148.767,150.568,112.522,104.267,141.6312,13
zg,Zeb,growth,V1,zg_V1_4,179.178,126.904,133.564,124.937,102.526,133.4218,10
zg,Zeb,growth,V1,zg_V1_5,148.628,134.244,128.848,139.138,131.042,136.38,14
zg,Zeb,growth,V2,zg_V2_1,184.756,167.74,119.943,104.661,103.285,136.077,18
zg,Zeb,growth,V2,zg_V2_2,164.427,150.232,115.143,127.173,192.741,149.9432,18
zg,Zeb,growth,V2,zg_V2_3,159.675,143.864,178.508,97.552,93.115,134.5428,13
zg,Zeb,growth,V2,zg_V2_4,194.931,170.386,169.461,157.27,139.66,166.3416,22
zg,Zeb,growth,V2,zg_V2_5,155.038,138.348,143.678,105.912,82.193,125.0338,10
zg,Zeb,growth,V3,zg_V3_1,165.721,160.46,145.116,155.585,152.507,155.8778,10
zg,Zeb,growth,V3,zg_V3_2,144.298,149.038,125.961,127.885,140.692,137.5748,15
zg,Zeb,growth,V3,zg_V3_3,172.567,149.325,140.884,93.881,119.771,135.2856,12
zg,Zeb,growth,V3,zg_V3_4,250.598,126.857,172.968,146.642,128.705,165.154,25
zg,Zeb,growth,V3,zg_V3_5,na,na,na,na,na,na,na
zg,Zeb,growth,V4,zg_V4_1,233.542,233.359,197.5,219.497,206.305,218.0406,36
zg,Zeb,growth,V4,zg_V4_2,314.583,301.128,278.894,271.621,245.343,282.3138,54
zg,Zeb,growth,V4,zg_V4_3,385.939,290.286,292.817,289.117,298.497,311.3312,49
zg,Zeb,growth,V4,zg_V4_4,494.202,379.563,451.438,334.531,266.932,385.3332,52
zg,Zeb,growth,V4,zg_V4_5,465.702,362.642,380.069,352.292,323.472,376.8354,41
zg,Zeb,growth,R1,zg_r1_1,283.227,298.424,284.479,286.186,264.321,283.3274,43
zg,Zeb,growth,R1,zg_r1_2,275.408,309.819,324.278,319.06,297.297,305.1724,83
zg,Zeb,growth,R1,zg_r1_3,461.641,336.704,294.705,324.617,324.906,348.5146,111
zg,Zeb,growth,R1,zg_r1_4,444.863,392.727,417.61,295.943,299.687,370.166,126
zg,Zeb,growth,R1,zg_r1_5,317.149,301.081,307.028,234.26,251.609,282.2254,78
zg,Zeb,growth,R4,zg_r4_1,363.335,295.191,315.272,304.752,350.81,325.872,122
zg,Zeb,growth,R4,zg_r4_2,336.424,344.287,325.678,283.621,359.962,329.9944,151
zg,Zeb,growth,R4,zg_r4_3,409.729,413.972,351.477,300.337,336.909,362.4848,174
zg,Zeb,growth,R4,zg_r4_4,296.28,281.157,298.297,202.768,318.508,279.402,102
zg,Zeb,growth,R4,zg_r4_5,363.916,370.858,394.184,301.249,343.57,354.7554,135
zg,Zeb,growth,R7,zg_r7_1,333.12,281.28,290.75,279.619,308.964,298.7466,73
zg,Zeb,growth,R7,zg_r7_2,308.905,319.316,252.399,268.885,293.944,288.6898,95
zg,Zeb,growth,R7,zg_r7_3,244.176,283.579,305.991,265.682,340.282,287.942,61
zg,Zeb,growth,R7,zg_r7_4,339.322,328.947,332.994,335.29,310.565,329.4236,68
zg,Zeb,growth,R7,zg_r7_5,223.072,237.152,220.254,262.767,268.712,242.3914,105
cg,Control,growth,V1,cg_V1_1,196.29,202.58,166.68,184.96,192.55,188.612,9
cg,Control,growth,V1,cg_V1_2,241.028,141.988,214.114,211.701,173.481,196.4624,11
cg,Control,growth,V1,cg_V1_3,168.106,186.242,188.184,168.527,186.24,179.4598,5
cg,Control,growth,V1,cg_V1_4,201.077,168.178,196.161,202.724,212.03,196.034,5
cg,Control,growth,V1,cg_V1_5,147.527,341.33,204.989,202.201,174.967,214.2028,4
cg,Control,growth,V2,cg_V2_1,440.417,345.44,346.023,320.824,286.617,347.8642,15
cg,Control,growth,V2,cg_V2_2,435.437,297.729,344.624,272.492,253.895,320.8354,27
cg,Control,growth,V2,cg_V2_3,302.691,260.246,277.416,281.34,241.239,272.5864,5
cg,Control,growth,V2,cg_V2_4,351.159,342.231,243.826,298.113,206.928,288.4514,16
cg,Control,growth,V2,cg_V2_5,334.167,430.48,316.873,223.306,230.423,307.0498,2
cg,Control,growth,V3,cg_V3_1,489.727,398.839,355.819,283.046,284.36,362.3582,31
cg,Control,growth,V3,cg_V3_2,327.026,353.649,453.401,308.909,245.251,337.6472,37
cg,Control,growth,V3,cg_V3_3,532.034,329.84,341.842,432.485,369.668,401.1738,40
cg,Control,growth,V3,cg_V3_4,363.424,277.249,505.332,399.926,394.503,388.0868,68
cg,Control,growth,V3,cg_V3_5,395.682,317.615,265.965,245.773,270.815,299.17,50
cg,Control,growth,V4,cg_V4_1,555.229,296.224,285.893,276.681,285.287,339.8628,61
cg,Control,growth,V4,cg_V4_2,393.88,376.2,316.687,362.621,307.744,351.4264,103
cg,Control,growth,V4,cg_V4_3,287.151,297.694,346.503,309.87,271.175,302.4786,132
cg,Control,growth,V4,cg_V4_4,460.928,409.839,398.284,382.69,257.854,381.919,139
cg,Control,growth,V4,cg_V4_5,370.369,317.068,365.413,273.434,265.901,318.437,132
cg,Control,growth,R1,cg_r1_1,312.034,404.839,418.275,368.329,309.862,362.6678,111
cg,Control,growth,R1,cg_r1_2,492.802,404.338,365.284,377.172,336.902,395.2996,105
cg,Control,growth,R1,cg_r1_3,432.994,367.011,372.84,350.94,352.042,375.1654,173
cg,Control,growth,R1,cg_r1_4,292.045,396.312,398.254,330.73,383.372,360.1426,184
cg,Control,growth,R1,cg_r1_5,359.585,282.66,308.292,369.239,300.592,324.0736,193
cg,Control,growth,R4,cg_r4_1,564.571,506.371,361.269,361.363,291.233,416.9614,117
cg,Control,growth,R4,cg_r4_2,416.973,429.693,366.8,262.196,415.946,378.3216,121
cg,Control,growth,R4,cg_r4_3,335.277,392.351,487.16,350.048,360.01,384.9692,95
cg,Control,growth,R4,cg_r4_4,389.625,322.515,342.834,349.485,381.949,357.2816,129
cg,Control,growth,R4,cg_r4_5,595.144,455.022,398.058,457.909,402.628,461.7522,182
cg,Control,growth,R7,cg_r7_1,407.904,537.325,439.404,448.413,423.284,451.266,91
cg,Control,growth,R7,cg_r7_2,378.649,387.45,420.181,290.133,354.694,366.2214,59
cg,Control,growth,R7,cg_r7_3,391.976,353.461,418.098,423.386,298.291,377.0424,68
cg,Control,growth,R7,cg_r7_4,300.769,320.471,349.323,241.579,326.075,307.6434,66
cg,Control,growth,R7,cg_r7_5,307.692,306.455,331.541,319.762,325.02,318.094,54
