,SampleID,treatment,series,group,stage,stage_all,age_days,group_stage,timepoint,plant_rep,harvest_date,PlantID,height,predry_w_env,postdry_w_env,envelope,predry,postdry,compartment,compartment_code,RP_extr_number,RS_extr_number,pellet_date,extr_date,extr_group,sample_type,control_type,experiment,is.neg
RP_132,RP_132,Control,time,Control_time,day14,V1_V2,14,Control_time_day14,3,4,19-Aug,Control_time_day14_4,10.4,19.69,16.94,16.27,3.42,0.67,rhizoplane,RP,132,NA,5/4/23,5/11/23,7,sample,,rhizo_assembly,FALSE
RP_29,RP_29,Control,time,Control_time,day14,V1_V2,14,Control_time_day14,3,1,19-Aug,Control_time_day14_1,11.9,20.01,17.09,16.27,3.74,0.82,rhizoplane,RP,29,NA,4/13/23,5/9/23,2,sample,,rhizo_assembly,FALSE
RP_30,RP_30,Control,time,Control_time,day14,V1_V2,14,Control_time_day14,3,3,19-Aug,Control_time_day14_3,13,20.21,17.2,16.27,3.94,0.93,rhizoplane,RP,30,NA,4/13/23,5/9/23,2,sample,,rhizo_assembly,FALSE
RP_4,RP_4,Control,time,Control_time,day14,V1_V2,14,Control_time_day14,3,2,19-Aug,Control_time_day14_2,11.8,20,16.86,16.27,3.73,0.59,rhizoplane,RP,4,NA,4/12/23,5/8/23,1,sample,,rhizo_assembly,FALSE
RS_152,RS_152,Control,time,Control_time,day14,V1_V2,14,Control_time_day14,3,2,19-Aug,Control_time_day14_2,11.8,20,16.86,16.27,3.73,0.59,rhizosphere,RS,NA,152,,5/13/23,8,sample,,rhizo_assembly,FALSE
RS_177,RS_177,Control,time,Control_time,day14,V1_V2,14,Control_time_day14,3,1,19-Aug,Control_time_day14_1,11.9,20.01,17.09,16.27,3.74,0.82,rhizosphere,RS,NA,177,,5/13/23,9,sample,,rhizo_assembly,FALSE
RS_178,RS_178,Control,time,Control_time,day14,V1_V2,14,Control_time_day14,3,3,19-Aug,Control_time_day14_3,13,20.21,17.2,16.27,3.94,0.93,rhizosphere,RS,NA,178,,5/13/23,9,sample,,rhizo_assembly,FALSE
RS_239,RS_239,Control,time,Control_time,day14,V1_V2,14,Control_time_day14,3,5,19-Aug,Control_time_day14_5,10.7,20.01,16.81,16.27,3.74,0.54,rhizosphere,RS,NA,239,,5/15/23,12,sample,,rhizo_assembly,FALSE
RS_280,RS_280,Control,time,Control_time,day14,V1_V2,14,Control_time_day14,3,4,19-Aug,Control_time_day14_4,10.4,19.69,16.94,16.27,3.42,0.67,rhizosphere,RS,NA,280,,5/15/23,14,sample,,rhizo_assembly,FALSE
RP_120,RP_120,Zeb,time,Zeb_time,day14,VC,14,Zeb_time_day14,3,3,19-Aug,Zeb_time_day14_3,4.7,4.26,2.93,2.5,1.76,0.43,rhizoplane,RP,120,NA,5/4/23,5/11/23,6,sample,,rhizo_assembly,FALSE
RP_143,RP_143,Zeb,time,Zeb_time,day14,VC,14,Zeb_time_day14,3,4,19-Aug,Zeb_time_day14_4,4.9,4.09,3,2.5,1.59,0.5,rhizoplane,RP,143,NA,5/4/23,5/11/23,7,sample,,rhizo_assembly,FALSE
RP_37,RP_37,Zeb,time,Zeb_time,day14,VC,14,Zeb_time_day14,3,5,19-Aug,Zeb_time_day14_5,4.2,4.14,3.03,2.5,1.64,0.53,rhizoplane,RP,37,NA,4/13/23,5/9/23,2,sample,,rhizo_assembly,FALSE
RP_78,RP_78,Zeb,time,Zeb_time,day14,VC,14,Zeb_time_day14,3,1,19-Aug,Zeb_time_day14_1,4.8,4.04,3,2.5,1.54,0.5,rhizoplane,RP,78,NA,4/14/23,5/10/23,4,sample,,rhizo_assembly,FALSE
RP_79,RP_79,Zeb,time,Zeb_time,day14,VC,14,Zeb_time_day14,3,2,19-Aug,Zeb_time_day14_2,5,4.21,2.96,2.5,1.71,0.46,rhizoplane,RP,79,NA,4/14/23,5/10/23,4,sample,,rhizo_assembly,FALSE
RS_185,RS_185,Zeb,time,Zeb_time,day14,VC,14,Zeb_time_day14,3,5,19-Aug,Zeb_time_day14_5,4.2,4.14,3.03,2.5,1.64,0.53,rhizosphere,RS,NA,185,,5/13/23,9,sample,,rhizo_assembly,FALSE
RS_226,RS_226,Zeb,time,Zeb_time,day14,VC,14,Zeb_time_day14,3,1,19-Aug,Zeb_time_day14_1,4.8,4.04,3,2.5,1.54,0.5,rhizosphere,RS,NA,226,,5/13/23,11,sample,,rhizo_assembly,FALSE
RS_227,RS_227,Zeb,time,Zeb_time,day14,VC,14,Zeb_time_day14,3,2,19-Aug,Zeb_time_day14_2,5,4.21,2.96,2.5,1.71,0.46,rhizosphere,RS,NA,227,,5/13/23,11,sample,,rhizo_assembly,FALSE
RS_268,RS_268,Zeb,time,Zeb_time,day14,VC,14,Zeb_time_day14,3,3,19-Aug,Zeb_time_day14_3,4.7,4.26,2.93,2.5,1.76,0.43,rhizosphere,RS,NA,268,,5/15/23,13,sample,,rhizo_assembly,FALSE
RS_291,RS_291,Zeb,time,Zeb_time,day14,VC,14,Zeb_time_day14,3,4,19-Aug,Zeb_time_day14_4,4.9,4.09,3,2.5,1.59,0.5,rhizosphere,RS,NA,291,,5/15/23,14,sample,,rhizo_assembly,FALSE
RP_110,RP_110,Control,time,Control_time,day21,V3,21,Control_time_day21,4,1,26-Aug,Control_time_day21_1,14.9,22.26,17.56,16.27,5.99,1.29,rhizoplane,RP,110,NA,5/4/23,5/11/23,6,sample,,rhizo_assembly,FALSE
RP_48,RP_48,Control,time,Control_time,day21,V3,21,Control_time_day21,4,5,26-Aug,Control_time_day21_5,18.9,24.36,18.28,16.27,8.09,2.01,rhizoplane,RP,48,NA,4/13/23,5/9/23,3,sample,,rhizo_assembly,FALSE
RP_5,RP_5,Control,time,Control_time,day21,V3,21,Control_time_day21,4,2,26-Aug,Control_time_day21_2,18.9,24.75,18.07,16.27,8.48,1.8,rhizoplane,RP,5,NA,4/12/23,5/8/23,1,sample,,rhizo_assembly,FALSE
RP_93,RP_93,Control,time,Control_time,day21,V3,21,Control_time_day21,4,4,26-Aug,Control_time_day21_4,19.6,24.39,17.77,16.27,8.12,1.5,rhizoplane,RP,93,NA,4/15/23,5/10/23,5,sample,,rhizo_assembly,FALSE
RS_153,RS_153,Control,time,Control_time,day21,V3,21,Control_time_day21,4,2,26-Aug,Control_time_day21_2,18.9,24.75,18.07,16.27,8.48,1.8,rhizosphere,RS,NA,153,,5/13/23,8,sample,,rhizo_assembly,FALSE
RS_196,RS_196,Control,time,Control_time,day21,V3,21,Control_time_day21,4,5,26-Aug,Control_time_day21_5,18.9,24.36,18.28,16.27,8.09,2.01,rhizosphere,RS,NA,196,,5/13/23,10,sample,,rhizo_assembly,FALSE
RS_240,RS_240,Control,time,Control_time,day21,V3,21,Control_time_day21,4,3,26-Aug,Control_time_day21_3,17.6,23.51,17.62,16.27,7.24,1.35,rhizosphere,RS,NA,240,,5/15/23,12,sample,,rhizo_assembly,FALSE
RS_241,RS_241,Control,time,Control_time,day21,V3,21,Control_time_day21,4,4,26-Aug,Control_time_day21_4,19.6,24.39,17.77,16.27,8.12,1.5,rhizosphere,RS,NA,241,,5/15/23,12,sample,,rhizo_assembly,FALSE
RS_258,RS_258,Control,time,Control_time,day21,V3,21,Control_time_day21,4,1,26-Aug,Control_time_day21_1,14.9,22.26,17.56,16.27,5.99,1.29,rhizosphere,RS,NA,258,,5/15/23,13,sample,,rhizo_assembly,FALSE
RP_121,RP_121,Zeb,time,Zeb_time,day21,VC_V1,21,Zeb_time_day21,4,1,26-Aug,Zeb_time_day21_1,6.2,4.31,2.92,2.5,1.81,0.42,rhizoplane,RP,121,NA,5/4/23,5/11/23,6,sample,,rhizo_assembly,FALSE
RP_122,RP_122,Zeb,time,Zeb_time,day21,VC_V1,21,Zeb_time_day21,4,2,26-Aug,Zeb_time_day21_2,9.5,5.48,3.04,2.5,2.98,0.54,rhizoplane,RP,122,NA,5/4/23,5/11/23,6,sample,,rhizo_assembly,FALSE
RP_144,RP_144,Zeb,time,Zeb_time,day21,VC_V1,21,Zeb_time_day21,4,3,26-Aug,Zeb_time_day21_3,6.5,4.31,2.89,2.5,1.81,0.39,rhizoplane,RP,144,NA,5/4/23,5/11/23,7,sample,,rhizo_assembly,FALSE
RP_16,RP_16,Zeb,time,Zeb_time,day21,VC_V1,21,Zeb_time_day21,4,5,26-Aug,Zeb_time_day21_5,4.1,4.15,3.02,2.5,1.65,0.52,rhizoplane,RP,16,NA,4/12/23,5/8/23,1,sample,,rhizo_assembly,FALSE
RP_99,RP_99,Zeb,time,Zeb_time,day21,VC_V1,21,Zeb_time_day21,4,4,26-Aug,Zeb_time_day21_4,4.4,4.45,3.01,2.5,1.95,0.51,rhizoplane,RP,99,NA,4/15/23,5/10/23,5,sample,,rhizo_assembly,FALSE
RS_164,RS_164,Zeb,time,Zeb_time,day21,VC_V1,21,Zeb_time_day21,4,5,26-Aug,Zeb_time_day21_5,4.1,4.15,3.02,2.5,1.65,0.52,rhizosphere,RS,NA,164,,5/13/23,8,sample,,rhizo_assembly,FALSE
RS_247,RS_247,Zeb,time,Zeb_time,day21,VC_V1,21,Zeb_time_day21,4,4,26-Aug,Zeb_time_day21_4,4.4,4.45,3.01,2.5,1.95,0.51,rhizosphere,RS,NA,247,,5/15/23,12,sample,,rhizo_assembly,FALSE
