,SampleID,treatment,series,group,stage,stage_all,age_days,group_stage,timepoint,plant_rep,harvest_date,PlantID,height,predry_w_env,postdry_w_env,envelope,predry,postdry,compartment,compartment_code,RP_extr_number,RS_extr_number,pellet_date,extr_date,extr_group,sample_type,control_type,experiment,is.neg
RS_269,RS_269,Zeb,time,Zeb_time,day21,VC_V1,21,Zeb_time_day21,4,1,26-Aug,Zeb_time_day21_1,6.2,4.31,2.92,2.5,1.81,0.42,rhizosphere,RS,NA,269,,5/15/23,13,sample,,rhizo_assembly,FALSE
RS_270,RS_270,Zeb,time,Zeb_time,day21,VC_V1,21,Zeb_time_day21,4,2,26-Aug,Zeb_time_day21_2,9.5,5.48,3.04,2.5,2.98,0.54,rhizosphere,RS,NA,270,,5/15/23,13,sample,,rhizo_assembly,FALSE
RS_292,RS_292,Zeb,time,Zeb_time,day21,VC_V1,21,Zeb_time_day21,4,3,26-Aug,Zeb_time_day21_3,6.5,4.31,2.89,2.5,1.81,0.39,rhizosphere,RS,NA,292,,5/15/23,14,sample,,rhizo_assembly,FALSE
RP_111,RP_111,Control,time,Control_time,day3,Emerged,3,Control_time_day3,1,4,8-Aug,Control_time_day3_4,0,NA,NA,NA,NA,NA,rhizoplane,RP,111,NA,5/4/23,5/11/23,6,sample,,rhizo_assembly,FALSE
RP_31,RP_31,Control,time,Control_time,day3,Emerged,3,Control_time_day3,1,5,8-Aug,Control_time_day3_5,0,NA,NA,NA,NA,NA,rhizoplane,RP,31,NA,4/13/23,5/9/23,2,sample,,rhizo_assembly,FALSE
RP_69,RP_69,Control,time,Control_time,day3,Emerged,3,Control_time_day3,1,3,8-Aug,Control_time_day3_3,0,NA,NA,NA,NA,NA,rhizoplane,RP,69,NA,4/14/23,5/10/23,4,sample,,rhizo_assembly,FALSE
RP_94,RP_94,Control,time,Control_time,day3,Emerged,3,Control_time_day3,1,1,8-Aug,Control_time_day3_1,0,NA,NA,NA,NA,NA,rhizoplane,RP,94,NA,4/15/23,5/10/23,5,sample,,rhizo_assembly,FALSE
RP_95,RP_95,Control,time,Control_time,day3,Emerged,3,Control_time_day3,1,2,8-Aug,Control_time_day3_2,0,NA,NA,NA,NA,NA,rhizoplane,RP,95,NA,4/15/23,5/10/23,5,sample,,rhizo_assembly,FALSE
RS_179,RS_179,Control,time,Control_time,day3,Emerged,3,Control_time_day3,1,5,8-Aug,Control_time_day3_5,0,NA,NA,NA,NA,NA,rhizosphere,RS,NA,179,,5/13/23,9,sample,,rhizo_assembly,FALSE
RS_217,RS_217,Control,time,Control_time,day3,Emerged,3,Control_time_day3,1,3,8-Aug,Control_time_day3_3,0,NA,NA,NA,NA,NA,rhizosphere,RS,NA,217,,5/13/23,11,sample,,rhizo_assembly,FALSE
RS_242,RS_242,Control,time,Control_time,day3,Emerged,3,Control_time_day3,1,1,8-Aug,Control_time_day3_1,0,NA,NA,NA,NA,NA,rhizosphere,RS,NA,242,,5/15/23,12,sample,,rhizo_assembly,FALSE
RS_243,RS_243,Control,time,Control_time,day3,Emerged,3,Control_time_day3,1,2,8-Aug,Control_time_day3_2,0,NA,NA,NA,NA,NA,rhizosphere,RS,NA,243,,5/15/23,12,sample,,rhizo_assembly,FALSE
RS_259,RS_259,Control,time,Control_time,day3,Emerged,3,Control_time_day3,1,4,8-Aug,Control_time_day3_4,0,NA,NA,NA,NA,NA,rhizosphere,RS,NA,259,,5/15/23,13,sample,,rhizo_assembly,FALSE
RP_100,RP_100,Zeb,time,Zeb_time,day3,Pre_Emergence,3,Zeb_time_day3,1,2,8-Aug,Zeb_time_day3_2,0,NA,NA,NA,NA,NA,rhizoplane,RP,100,NA,4/15/23,5/10/23,5,sample,,rhizo_assembly,FALSE
RP_145,RP_145,Zeb,time,Zeb_time,day3,Pre_Emergence,3,Zeb_time_day3,1,3,8-Aug,Zeb_time_day3_3,0,NA,NA,NA,NA,NA,rhizoplane,RP,145,NA,5/4/23,5/11/23,7,sample,,rhizo_assembly,FALSE
RP_17,RP_17,Zeb,time,Zeb_time,day3,Pre_Emergence,3,Zeb_time_day3,1,4,8-Aug,Zeb_time_day3_4,0,NA,NA,NA,NA,NA,rhizoplane,RP,17,NA,4/12/23,5/8/23,1,sample,,rhizo_assembly,FALSE
RP_38,RP_38,Zeb,time,Zeb_time,day3,Pre_Emergence,3,Zeb_time_day3,1,1,8-Aug,Zeb_time_day3_1,0,NA,NA,NA,NA,NA,rhizoplane,RP,38,NA,4/13/23,5/9/23,2,sample,,rhizo_assembly,FALSE
RP_60,RP_60,Zeb,time,Zeb_time,day3,Pre_Emergence,3,Zeb_time_day3,1,5,8-Aug,Zeb_time_day3_5,0,NA,NA,NA,NA,NA,rhizoplane,RP,60,NA,4/13/23,5/9/23,3,sample,,rhizo_assembly,FALSE
RS_165,RS_165,Zeb,time,Zeb_time,day3,Pre_Emergence,3,Zeb_time_day3,1,4,8-Aug,Zeb_time_day3_4,0,NA,NA,NA,NA,NA,rhizosphere,RS,NA,165,,5/13/23,8,sample,,rhizo_assembly,FALSE
RS_186,RS_186,Zeb,time,Zeb_time,day3,Pre_Emergence,3,Zeb_time_day3,1,1,8-Aug,Zeb_time_day3_1,0,NA,NA,NA,NA,NA,rhizosphere,RS,NA,186,,5/13/23,9,sample,,rhizo_assembly,FALSE
RS_208,RS_208,Zeb,time,Zeb_time,day3,Pre_Emergence,3,Zeb_time_day3,1,5,8-Aug,Zeb_time_day3_5,0,NA,NA,NA,NA,NA,rhizosphere,RS,NA,208,,5/13/23,10,sample,,rhizo_assembly,FALSE
RS_248,RS_248,Zeb,time,Zeb_time,day3,Pre_Emergence,3,Zeb_time_day3,1,2,8-Aug,Zeb_time_day3_2,0,NA,NA,NA,NA,NA,rhizosphere,RS,NA,248,,5/15/23,12,sample,,rhizo_assembly,FALSE
RS_293,RS_293,Zeb,time,Zeb_time,day3,Pre_Emergence,3,Zeb_time_day3,1,3,8-Aug,Zeb_time_day3_3,0,NA,NA,NA,NA,NA,rhizosphere,RS,NA,293,,5/15/23,14,sample,,rhizo_assembly,FALSE
RP_112,RP_112,Control,time,Control_time,day35,R3,35,Control_time_day35,5,5,9-Sep,Control_time_day35_5,32,49.2,21.72,16.27,32.93,5.45,rhizoplane,RP,112,NA,5/4/23,5/11/23,6,sample,,rhizo_assembly,FALSE
RP_133,RP_133,Control,time,Control_time,day35,R3,35,Control_time_day35,5,1,9-Sep,Control_time_day35_1,34.4,53.91,22.19,16.27,37.64,5.92,rhizoplane,RP,133,NA,5/4/23,5/11/23,7,sample,,rhizo_assembly,FALSE
RP_32,RP_32,Control,time,Control_time,day35,R3,35,Control_time_day35,5,4,9-Sep,Control_time_day35_4,28.1,43.98,20.66,16.27,27.71,4.39,rhizoplane,RP,32,NA,4/13/23,5/9/23,2,sample,,rhizo_assembly,FALSE
RP_6,RP_6,Control,time,Control_time,day35,R3,35,Control_time_day35,5,2,9-Sep,Control_time_day35_2,28.1,43.31,21.17,16.27,27.04,4.9,rhizoplane,RP,6,NA,4/12/23,5/8/23,1,sample,,rhizo_assembly,FALSE
RP_70,RP_70,Control,time,Control_time,day35,R3,35,Control_time_day35,5,3,9-Sep,Control_time_day35_3,33.9,37.2,20.25,16.27,20.93,3.98,rhizoplane,RP,70,NA,4/14/23,5/10/23,4,sample,,rhizo_assembly,FALSE
RS_154,RS_154,Control,time,Control_time,day35,R3,35,Control_time_day35,5,2,9-Sep,Control_time_day35_2,28.1,43.31,21.17,16.27,27.04,4.9,rhizosphere,RS,NA,154,,5/13/23,8,sample,,rhizo_assembly,FALSE
RS_180,RS_180,Control,time,Control_time,day35,R3,35,Control_time_day35,5,4,9-Sep,Control_time_day35_4,28.1,43.98,20.66,16.27,27.71,4.39,rhizosphere,RS,NA,180,,5/13/23,9,sample,,rhizo_assembly,FALSE
RS_218,RS_218,Control,time,Control_time,day35,R3,35,Control_time_day35,5,3,9-Sep,Control_time_day35_3,33.9,37.2,20.25,16.27,20.93,3.98,rhizosphere,RS,NA,218,,5/13/23,11,sample,,rhizo_assembly,FALSE
RS_260,RS_260,Control,time,Control_time,day35,R3,35,Control_time_day35,5,5,9-Sep,Control_time_day35_5,32,49.2,21.72,16.27,32.93,5.45,rhizosphere,RS,NA,260,,5/15/23,13,sample,,rhizo_assembly,FALSE
RS_281,RS_281,Control,time,Control_time,day35,R3,35,Control_time_day35,5,1,9-Sep,Control_time_day35_1,34.4,53.91,22.19,16.27,37.64,5.92,rhizosphere,RS,NA,281,,5/15/23,14,sample,,rhizo_assembly,FALSE
RP_101,RP_101,Zeb,time,Zeb_time,day35,V3,35,Zeb_time_day35,5,3,9-Sep,Zeb_time_day35_3,20.7,22.87,17.75,16.27,6.6,1.48,rhizoplane,RP,101,NA,4/15/23,5/10/23,5,sample,,rhizo_assembly,FALSE
RP_123,RP_123,Zeb,time,Zeb_time,day35,V3,35,Zeb_time_day35,5,2,9-Sep,Zeb_time_day35_2,11.8,21.59,17.16,16.27,5.32,0.89,rhizoplane,RP,123,NA,5/4/23,5/11/23,6,sample,,rhizo_assembly,FALSE
RP_39,RP_39,Zeb,time,Zeb_time,day35,V3,35,Zeb_time_day35,5,1,9-Sep,Zeb_time_day35_1,20.5,21.96,17.26,16.27,5.69,0.99,rhizoplane,RP,39,NA,4/13/23,5/9/23,2,sample,,rhizo_assembly,FALSE
RP_80,RP_80,Zeb,time,Zeb_time,day35,V3,35,Zeb_time_day35,5,4,9-Sep,Zeb_time_day35_4,13.4,24.01,18.07,16.27,7.74,1.8,rhizoplane,RP,80,NA,4/14/23,5/10/23,4,sample,,rhizo_assembly,FALSE
RS_187,RS_187,Zeb,time,Zeb_time,day35,V3,35,Zeb_time_day35,5,1,9-Sep,Zeb_time_day35_1,20.5,21.96,17.26,16.27,5.69,0.99,rhizosphere,RS,NA,187,,5/13/23,9,sample,,rhizo_assembly,FALSE
RS_228,RS_228,Zeb,time,Zeb_time,day35,V3,35,Zeb_time_day35,5,4,9-Sep,Zeb_time_day35_4,13.4,24.01,18.07,16.27,7.74,1.8,rhizosphere,RS,NA,228,,5/13/23,11,sample,,rhizo_assembly,FALSE
RS_229,RS_229,Zeb,time,Zeb_time,day35,V3,35,Zeb_time_day35,5,5,9-Sep,Zeb_time_day35_5,14.6,19.97,17.02,16.27,3.7,0.75,rhizosphere,RS,NA,229,,5/13/23,11,sample,,rhizo_assembly,FALSE
RS_249,RS_249,Zeb,time,Zeb_time,day35,V3,35,Zeb_time_day35,5,3,9-Sep,Zeb_time_day35_3,20.7,22.87,17.75,16.27,6.6,1.48,rhizosphere,RS,NA,249,,5/15/23,12,sample,,rhizo_assembly,FALSE
RS_271,RS_271,Zeb,time,Zeb_time,day35,V3,35,Zeb_time_day35,5,2,9-Sep,Zeb_time_day35_2,11.8,21.59,17.16,16.27,5.32,0.89,rhizosphere,RS,NA,271,,5/15/23,13,sample,,rhizo_assembly,FALSE
RP_134,RP_134,Control,time,Control_time,day49,R6,49,Control_time_day49,6,3,23-Sep,Control_time_day49_3,30.1,63.76,27.29,16.27,47.49,11.02,rhizoplane,RP,134,NA,5/4/23,5/11/23,7,sample,,rhizo_assembly,FALSE
RP_49,RP_49,Control,time,Control_time,day49,R6,49,Control_time_day49,6,1,23-Sep,Control_time_day49_1,32.5,54.55,26.12,16.27,38.28,9.85,rhizoplane,RP,49,NA,4/13/23,5/9/23,3,sample,,rhizo_assembly,FALSE
RP_50,RP_50,Control,time,Control_time,day49,R6,49,Control_time_day49,6,2,23-Sep,Control_time_day49_2,33,51.59,24.86,16.27,35.32,8.59,rhizoplane,RP,50,NA,4/13/23,5/9/23,3,sample,,rhizo_assembly,FALSE
RP_51,RP_51,Control,time,Control_time,day49,R6,49,Control_time_day49,6,5,23-Sep,Control_time_day49_5,30.8,64.68,27.78,16.27,48.41,11.51,rhizoplane,RP,51,NA,4/13/23,5/9/23,3,sample,,rhizo_assembly,FALSE
RP_71,RP_71,Control,time,Control_time,day49,R6,49,Control_time_day49,6,4,23-Sep,Control_time_day49_4,35.4,47.77,25.05,16.27,31.5,8.78,rhizoplane,RP,71,NA,4/14/23,5/10/23,4,sample,,rhizo_assembly,FALSE
RS_197,RS_197,Control,time,Control_time,day49,R6,49,Control_time_day49,6,1,23-Sep,Control_time_day49_1,32.5,54.55,26.12,16.27,38.28,9.85,rhizosphere,RS,NA,197,,5/13/23,10,sample,,rhizo_assembly,FALSE
RS_198,RS_198,Control,time,Control_time,day49,R6,49,Control_time_day49,6,2,23-Sep,Control_time_day49_2,33,51.59,24.86,16.27,35.32,8.59,rhizosphere,RS,NA,198,,5/13/23,10,sample,,rhizo_assembly,FALSE
RS_199,RS_199,Control,time,Control_time,day49,R6,49,Control_time_day49,6,5,23-Sep,Control_time_day49_5,30.8,64.68,27.78,16.27,48.41,11.51,rhizosphere,RS,NA,199,,5/13/23,10,sample,,rhizo_assembly,FALSE
RS_219,RS_219,Control,time,Control_time,day49,R6,49,Control_time_day49,6,4,23-Sep,Control_time_day49_4,35.4,47.77,25.05,16.27,31.5,8.78,rhizosphere,RS,NA,219,,5/13/23,11,sample,,rhizo_assembly,FALSE
RS_282,RS_282,Control,time,Control_time,day49,R6,49,Control_time_day49,6,3,23-Sep,Control_time_day49_3,30.1,63.76,27.29,16.27,47.49,11.02,rhizosphere,RS,NA,282,,5/15/23,14,sample,,rhizo_assembly,FALSE
RP_102,RP_102,Zeb,time,Zeb_time,day49,R2,49,Zeb_time_day49,6,4,23-Sep,Zeb_time_day49_4,24.3,37.2,21.5,16.27,20.93,5.23,rhizoplane,RP,102,NA,4/15/23,5/10/23,5,sample,,rhizo_assembly,FALSE
RP_124,RP_124,Zeb,time,Zeb_time,day49,R2,49,Zeb_time_day49,6,1,23-Sep,Zeb_time_day49_1,13.4,30.33,19.55,16.27,14.06,3.28,rhizoplane,RP,124,NA,5/4/23,5/11/23,6,sample,,rhizo_assembly,FALSE
RP_61,RP_61,Zeb,time,Zeb_time,day49,R2,49,Zeb_time_day49,6,2,23-Sep,Zeb_time_day49_2,18.3,27.58,18.87,16.27,11.31,2.6,rhizoplane,RP,61,NA,4/13/23,5/9/23,3,sample,,rhizo_assembly,FALSE
RP_62,RP_62,Zeb,time,Zeb_time,day49,R2,49,Zeb_time_day49,6,5,23-Sep,Zeb_time_day49_5,18.7,27.55,18.95,16.27,11.28,2.68,rhizoplane,RP,62,NA,4/13/23,5/9/23,3,sample,,rhizo_assembly,FALSE
RP_82,RP_82,Zeb,time,Zeb_time,day49,R2,49,Zeb_time_day49,6,3,23-Sep,Zeb_time_day49_3,24.4,28.32,18.98,16.27,12.05,2.71,rhizoplane,RP,82,NA,4/14/23,5/10/23,4,sample,,rhizo_assembly,FALSE
RS_209,RS_209,Zeb,time,Zeb_time,day49,R2,49,Zeb_time_day49,6,2,23-Sep,Zeb_time_day49_2,18.3,27.58,18.87,16.27,11.31,2.6,rhizosphere,RS,NA,209,,5/13/23,10,sample,,rhizo_assembly,FALSE
RS_230,RS_230,Zeb,time,Zeb_time,day49,R2,49,Zeb_time_day49,6,3,23-Sep,Zeb_time_day49_3,24.4,28.32,18.98,16.27,12.05,2.71,rhizosphere,RS,NA,230,,5/13/23,11,sample,,rhizo_assembly,FALSE
RS_250,RS_250,Zeb,time,Zeb_time,day49,R2,49,Zeb_time_day49,6,4,23-Sep,Zeb_time_day49_4,24.3,37.2,21.5,16.27,20.93,5.23,rhizosphere,RS,NA,250,,5/15/23,12,sample,,rhizo_assembly,FALSE
RS_272,RS_272,Zeb,time,Zeb_time,day49,R2,49,Zeb_time_day49,6,1,23-Sep,Zeb_time_day49_1,13.4,30.33,19.55,16.27,14.06,3.28,rhizosphere,RS,NA,272,,5/15/23,13,sample,,rhizo_assembly,FALSE
RP_113,RP_113,Control,time,Control_time,day63,RH,63,Control_time_day63,7,4,7-Oct,Control_time_day63_4,29.9,40.98,28.57,16.27,24.71,12.3,rhizoplane,RP,113,NA,5/4/23,5/11/23,6,sample,,rhizo_assembly,FALSE
RP_135,RP_135,Control,time,Control_time,day63,RH,63,Control_time_day63,7,2,7-Oct,Control_time_day63_2,33,34.21,27.25,16.27,17.94,10.98,rhizoplane,RP,135,NA,5/4/23,5/11/23,7,sample,,rhizo_assembly,FALSE
RP_7,RP_7,Control,time,Control_time,day63,RH,63,Control_time_day63,7,3,7-Oct,Control_time_day63_3,32.5,40.15,29.61,16.27,23.88,13.34,rhizoplane,RP,7,NA,4/12/23,5/8/23,1,sample,,rhizo_assembly,FALSE
RP_72,RP_72,Control,time,Control_time,day63,RH,63,Control_time_day63,7,5,7-Oct,Control_time_day63_5,30.9,40.14,27.85,16.27,23.87,11.58,rhizoplane,RP,72,NA,4/14/23,5/10/23,4,sample,,rhizo_assembly,FALSE
RP_96,RP_96,Control,time,Control_time,day63,RH,63,Control_time_day63,7,1,7-Oct,Control_time_day63_1,31.5,36.61,28.26,16.27,20.34,11.99,rhizoplane,RP,96,NA,4/15/23,5/10/23,5,sample,,rhizo_assembly,FALSE
RS_155,RS_155,Control,time,Control_time,day63,RH,63,Control_time_day63,7,3,7-Oct,Control_time_day63_3,32.5,40.15,29.61,16.27,23.88,13.34,rhizosphere,RS,NA,155,,5/13/23,8,sample,,rhizo_assembly,FALSE
RS_220,RS_220,Control,time,Control_time,day63,RH,63,Control_time_day63,7,5,7-Oct,Control_time_day63_5,30.9,40.14,27.85,16.27,23.87,11.58,rhizosphere,RS,NA,220,,5/13/23,11,sample,,rhizo_assembly,FALSE
RS_244,RS_244,Control,time,Control_time,day63,RH,63,Control_time_day63,7,1,7-Oct,Control_time_day63_1,31.5,36.61,28.26,16.27,20.34,11.99,rhizosphere,RS,NA,244,,5/15/23,12,sample,,rhizo_assembly,FALSE
RS_261,RS_261,Control,time,Control_time,day63,RH,63,Control_time_day63,7,4,7-Oct,Control_time_day63_4,29.9,40.98,28.57,16.27,24.71,12.3,rhizosphere,RS,NA,261,,5/15/23,13,sample,,rhizo_assembly,FALSE
RS_283,RS_283,Control,time,Control_time,day63,RH,63,Control_time_day63,7,2,7-Oct,Control_time_day63_2,33,34.21,27.25,16.27,17.94,10.98,rhizosphere,RS,NA,283,,5/15/23,14,sample,,rhizo_assembly,FALSE
RP_103,RP_103,Zeb,time,Zeb_time,day63,R5,63,Zeb_time_day63,7,4,7-Oct,Zeb_time_day63_4,20.1,42.07,21.75,16.27,25.8,5.48,rhizoplane,RP,103,NA,4/15/23,5/10/23,5,sample,,rhizo_assembly,FALSE
