sampleID,SampleID,group,series,stage,plant_rep,harvest_date,PlantID,height,predry_w_env,postdry_w_env,envelope,predry,postdry,compartment,compartment_code,RP_extr_number,RS_extr_number,pellet_date,extr_date,extr_group,sample_type,control_type,experiment
RP_1,RP_1,Control,growth,R1,5,31-Aug,Control_growth_R1_5,31.9,30.11,18.69,16.27,13.84,2.42,rhizoplane,RP,1,,4/12/23,5/8/23,1,sample,,rhizo_assembly
RP_10,RP_10,Zeb,growth,R7,3,19-Oct,Zeb_growth_R7_3,22.3,27.99,26.05,16.27,11.72,9.78,rhizoplane,RP,10,,4/12/23,5/8/23,1,sample,,rhizo_assembly
RP_100,RP_100,Zeb,time,day3,2,8-Aug,Zeb_time_day3_2,0,,,,,,rhizoplane,RP,100,,4/15/23,5/10/23,5,sample,,rhizo_assembly
RP_101,RP_101,Zeb,time,day35,3,9-Sep,Zeb_time_day35_3,20.7,22.87,17.75,16.27,6.6,1.48,rhizoplane,RP,101,,4/15/23,5/10/23,5,sample,,rhizo_assembly
RP_102,RP_102,Zeb,time,day49,4,23-Sep,Zeb_time_day49_4,24.3,37.2,21.5,16.27,20.93,5.23,rhizoplane,RP,102,,4/15/23,5/10/23,5,sample,,rhizo_assembly
RP_103,RP_103,Zeb,time,day63,4,7-Oct,Zeb_time_day63_4,20.1,42.07,21.75,16.27,25.8,5.48,rhizoplane,RP,103,,4/15/23,5/10/23,5,sample,,rhizo_assembly
RP_104,RP_104,Zeb,time,day7,5,12-Aug,Zeb_time_day7_5,1.8,3.95,2.97,2.5,1.45,0.47,rhizoplane,RP,104,,4/15/23,5/10/23,5,sample,,rhizo_assembly
RP_105,RP_105,,,,,,Negative_group5,,,,,,,rhizoplane,RP,105,,4/15/23,5/10/23,5,control,negative,rhizo_assembly
RP_106,RP_106,Control,growth,R4,3,11-Sep,Control_growth_R4_3,30.8,58.02,21.42,16.27,41.75,5.15,rhizoplane,RP,106,,5/4/23,5/11/23,6,sample,,rhizo_assembly
RP_107,RP_107,Control,growth,V1,4,15-Aug,Control_growth_V1_4,10.6,,2.95,2.5,,0.45,rhizoplane,RP,107,,5/4/23,5/11/23,6,sample,,rhizo_assembly
RP_108,RP_108,Control,growth,V2,3,19-Aug,Control_growth_V2_3,13.7,21.07,17.14,16.27,4.8,0.87,rhizoplane,RP,108,,5/4/23,5/11/23,6,sample,,rhizo_assembly
RP_109,RP_109,Control,growth,V2,5,19-Aug,Control_growth_V2_5,9.9,20.11,17.02,16.27,3.84,0.75,rhizoplane,RP,109,,5/4/23,5/11/23,6,sample,,rhizo_assembly
RP_11,RP_11,Zeb,growth,V1,3,25-Aug,Zeb_growth_V1_3,10.1,4.97,3.01,2.5,2.47,0.51,rhizoplane,RP,11,,4/12/23,5/8/23,1,sample,,rhizo_assembly
RP_110,RP_110,Control,time,day21,1,26-Aug,Control_time_day21_1,14.9,22.26,17.56,16.27,5.99,1.29,rhizoplane,RP,110,,5/4/23,5/11/23,6,sample,,rhizo_assembly
RP_111,RP_111,Control,time,day3,4,8-Aug,Control_time_day3_4,0,,,,,,rhizoplane,RP,111,,5/4/23,5/11/23,6,sample,,rhizo_assembly
RP_112,RP_112,Control,time,day35,5,9-Sep,Control_time_day35_5,32,49.2,21.72,16.27,32.93,5.45,rhizoplane,RP,112,,5/4/23,5/11/23,6,sample,,rhizo_assembly
RP_113,RP_113,Control,time,day63,4,7-Oct,Control_time_day63_4,29.9,40.98,28.57,16.27,24.71,12.3,rhizoplane,RP,113,,5/4/23,5/11/23,6,sample,,rhizo_assembly
RP_114,RP_114,Zeb,growth,R1,1,11-Sep,Zeb_growth_R1_1,9.8,20.32,16.52,16.27,4.05,0.25,rhizoplane,RP,114,,5/4/23,5/11/23,6,sample,,rhizo_assembly
RP_115,RP_115,Zeb,growth,R1,4,11-Sep,Zeb_growth_R1_4,37.5,27.37,18.03,16.27,11.1,1.76,rhizoplane,RP,115,,5/4/23,5/11/23,6,sample,,rhizo_assembly
RP_116,RP_116,Zeb,growth,R4,3,29-Sep,Zeb_growth_R4_3,19.5,53.28,21.65,16.27,37.01,5.38,rhizoplane,RP,116,,5/4/23,5/11/23,6,sample,,rhizo_assembly
RP_117,RP_117,Zeb,growth,R4,5,29-Sep,Zeb_growth_R4_5,21.4,59.32,24.23,16.27,43.05,7.96,rhizoplane,RP,117,,5/4/23,5/11/23,6,sample,,rhizo_assembly
RP_118,RP_118,Zeb,growth,V1,1,25-Aug,Zeb_growth_V1_1,7.8,5.4,3.11,2.5,2.9,0.61,rhizoplane,RP,118,,5/4/23,5/11/23,6,sample,,rhizo_assembly
RP_119,RP_119,Zeb,growth,V3,1,30-Aug,Zeb_growth_V3_1,11.6,6.43,3.21,2.5,3.93,0.71,rhizoplane,RP,119,,5/4/23,5/11/23,6,sample,,rhizo_assembly
RP_12,RP_12,Zeb,growth,V1,4,25-Aug,Zeb_growth_V1_4,7.9,4.14,2.89,2.5,1.64,0.39,rhizoplane,RP,12,,4/12/23,5/8/23,1,sample,,rhizo_assembly
RP_120,RP_120,Zeb,time,day14,3,19-Aug,Zeb_time_day14_3,4.7,4.26,2.93,2.5,1.76,0.43,rhizoplane,RP,120,,5/4/23,5/11/23,6,sample,,rhizo_assembly
RP_121,RP_121,Zeb,time,day21,1,26-Aug,Zeb_time_day21_1,6.2,4.31,2.92,2.5,1.81,0.42,rhizoplane,RP,121,,5/4/23,5/11/23,6,sample,,rhizo_assembly
RP_122,RP_122,Zeb,time,day21,2,26-Aug,Zeb_time_day21_2,9.5,5.48,3.04,2.5,2.98,0.54,rhizoplane,RP,122,,5/4/23,5/11/23,6,sample,,rhizo_assembly
RP_123,RP_123,Zeb,time,day35,2,9-Sep,Zeb_time_day35_2,11.8,21.59,17.16,16.27,5.32,0.89,rhizoplane,RP,123,,5/4/23,5/11/23,6,sample,,rhizo_assembly
RP_124,RP_124,Zeb,time,day49,1,23-Sep,Zeb_time_day49_1,13.4,30.33,19.55,16.27,14.06,3.28,rhizoplane,RP,124,,5/4/23,5/11/23,6,sample,,rhizo_assembly
RP_125,RP_125,Zeb,time,day7,2,12-Aug,Zeb_time_day7_2,1,3.88,3.05,2.5,1.38,0.55,rhizoplane,RP,125,,5/4/23,5/11/23,6,sample,,rhizo_assembly
RP_126,RP_126,,,,,,Negative_group6,,,,,,,rhizoplane,RP,126,,5/4/23,5/11/23,6,control,negative,rhizo_assembly
RP_128,RP_128,Control,growth,R4,4,11-Sep,Control_growth_R4_4,33.4,58.66,21.6,16.27,42.39,5.33,rhizoplane,RP,128,,5/4/23,5/11/23,7,sample,,rhizo_assembly
RP_129,RP_129,Control,growth,R7,3,28-Sep,Control_growth_R7_3,32,52.15,27.83,16.27,35.88,11.56,rhizoplane,RP,129,,5/4/23,5/11/23,7,sample,,rhizo_assembly
RP_13,RP_13,Zeb,growth,V2,2,29-Aug,Zeb_growth_V2_2,8.1,5.26,3.11,2.5,2.76,0.61,rhizoplane,RP,13,,4/12/23,5/8/23,1,sample,,rhizo_assembly
RP_130,RP_130,Control,growth,V2,2,19-Aug,Control_growth_V2_2,9.1,20,17.09,16.27,3.73,0.82,rhizoplane,RP,130,,5/4/23,5/11/23,7,sample,,rhizo_assembly
RP_131,RP_131,Control,growth,V4,5,30-Aug,Control_growth_V4_5,29.8,31.11,18.92,16.27,14.84,2.65,rhizoplane,RP,131,,5/4/23,5/11/23,7,sample,,rhizo_assembly
RP_132,RP_132,Control,time,day14,4,19-Aug,Control_time_day14_4,10.4,19.69,16.94,16.27,3.42,0.67,rhizoplane,RP,132,,5/4/23,5/11/23,7,sample,,rhizo_assembly
RP_133,RP_133,Control,time,day35,1,9-Sep,Control_time_day35_1,34.4,53.91,22.19,16.27,37.64,5.92,rhizoplane,RP,133,,5/4/23,5/11/23,7,sample,,rhizo_assembly
RP_134,RP_134,Control,time,day49,3,23-Sep,Control_time_day49_3,30.1,63.76,27.29,16.27,47.49,11.02,rhizoplane,RP,134,,5/4/23,5/11/23,7,sample,,rhizo_assembly
RP_135,RP_135,Control,time,day63,2,7-Oct,Control_time_day63_2,33,34.21,27.25,16.27,17.94,10.98,rhizoplane,RP,135,,5/4/23,5/11/23,7,sample,,rhizo_assembly
RP_136,RP_136,Control,time,day7,1,12-Aug,Control_time_day7_1,9.1,4.59,2.95,2.5,2.09,0.45,rhizoplane,RP,136,,5/4/23,5/11/23,7,sample,,rhizo_assembly
RP_137,RP_137,Control,time,day7,3,12-Aug,Control_time_day7_3,8,4.55,2.94,2.5,2.05,0.44,rhizoplane,RP,137,,5/4/23,5/11/23,7,sample,,rhizo_assembly
RP_138,RP_138,Zeb,growth,R4,2,29-Sep,Zeb_growth_R4_2,13.9,55.41,22.42,16.27,39.14,6.15,rhizoplane,RP,138,,5/4/23,5/11/23,7,sample,,rhizo_assembly
RP_139,RP_139,Zeb,growth,R7,1,19-Oct,Zeb_growth_R7_1,20.3,30.01,26.03,16.27,13.74,9.76,rhizoplane,RP,139,,5/4/23,5/11/23,7,sample,,rhizo_assembly
RP_14,RP_14,Zeb,growth,V2,3,29-Aug,Zeb_growth_V2_3,7.9,5.17,2.95,2.5,2.67,0.45,rhizoplane,RP,14,,4/12/23,5/8/23,1,sample,,rhizo_assembly
