,R1_5,V2_1,V3_2,R1_4,R4_5,R7_1,V2_4,V4_1,V4_2,V4_4,R7_2,V1_1,V1_2,V1_5,V3_1,R4_1,R7_4,V4_3,R1_1,R1_2,R4_2,V1_3,V3_4,R4_3,V1_4,V2_3,V2_5,R4_4,R7_3,V2_2,V4_5
0001d123420b59585627edf5a1292ae8,9,6,25,6,0,0,18,45,11,21,0,52,0,0,9,2,0,27,0,17,1,7,0,26,21,9,3,0,45,0,4
0004b1f90fa7bf4efe58248c2519f35b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
000687faccd0343280bbd9ed6c4c1983,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0011f19d274ee37f78af816b91ad2a1e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0012f485fd4ecc24c413c3029266450a,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0018c970e735680ee81833a3605296dc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
001941c22c099a6a6cfa791d5ae49b6c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
00196fc05b7fa6b86d9c7df749d31760,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00252b361ee925b7200ddba703da8e86,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0032ab5da12fadd744023dc9bbba5169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
00360e9b675235e3ba5f1e6cf402cd73,34,3,13,0,0,0,0,21,0,0,0,35,0,12,0,0,0,36,44,36,0,0,0,0,22,0,0,0,15,8,53
003a0d956315c3e8598740dddbaeff89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
003a994ab5294e568f7fdd0bbbae8a3c,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
003b43511ba57dfa65eeba381d809cd7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
