,R7_3,V1_3,V1_4,V2_2,V2_3,V2_5,R4_1,R7_2,R1_2,V2_1,V2_4,R1_5,R4_4,V1_5,V3_2,V3_4,V4_1,R7_4,V1_2,V4_3,V4_5,R1_1,R1_4,R4_3,R4_5,V1_1,V3_1,R4_2,R7_1,V4_2,V4_4
000174a97f7902257c170188c270f3de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0001d123420b59585627edf5a1292ae8,0,16,27,9,20,0,41,0,58,8,0,18,17,15,0,4,0,8,0,58,34,31,17,10,0,13,15,11,0,57,0
0006085314aa54c2023caf401ffc2ccd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
000de4423496a0c92096df1183ad2aa6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000f6b6264866dd5df6b600efeef16c1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0017f1d68d5a0dc85e8749c4f2bc2654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
00204a4b6cf0f2022da07690c84bf874,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0020e7819e27026dda00c3cfd8d5afac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
002289bf8e5c01974e743c610af22e5e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0023bab3c45df800d317e57c9e979191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0027ed2109fa5016cc258468f4f3a2b7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
