,day14_2,day21_2,day35_2,day63_3,day14_1,day14_3,day3_5,day35_4,day7_2,day21_5,day49_1,day49_2,day7_5,day3_3,day35_3,day49_4,day63_5,day7_4,day14_5,day21_3,day21_4,day3_1,day3_2,day63_1,day21_1,day3_4,day35_5,day63_4,day14_4,day35_1,day49_3,day63_2,day7_1,day7_3
00018c81ee2fdce0b90cae97f191c6d7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
0001d123420b59585627edf5a1292ae8,18,20,43,47,5,65,102,36,63,38,20,12,74,19,0,0,11,42,34,81,10,44,58,47,36,31,59,0,25,60,15,26,13,21
000319c59d2912bc3d57d2c1f0ccfa9b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
0010ce3beb4015b2a5ec80a1712e72d9,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010e6aa33fc5e19d63c7590dee7b806,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001276283f2488cc6ffd919b1510a116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001329490958edd6e09bc6145be12d28,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0019306e489d692c23d3208fe37b5581,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0019ef9c1f0b325b19ac06f153761dab,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001bb216be8489c1981784e213ab980c,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001ea9295156b56c9ed794864e61ea56,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0020e9c139a393d38c9722227be38cc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002887887c7fc79926b7390e3e8ee7de,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
00290a0c7808382dec5c5ca8d55e1ec8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002952c127a42e73fc781dd01fb10d6c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002adeb222dc38fe36fb1969b88e34ce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
